Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Nepal,NPL,21.6469852746313,19.5463008559418,22.0821265457679,25.1947048897919,25.9051136185799,27.6260850017638,26.9605652689538,23.9135443394186,25.0264204285432,24.1163701264819,24.2502461023191,22.2775786274327,22.8532966744987,26.2241089254704,26.2254579224946
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Nepal,NPL,21.7,23.5,25.1,26.8,28.4,30.1,31.8,33.4,35.1,36.6,38.3,39.9,41.1,42.7,..
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,
